asx code,rank,date
VAN,2.4952875417893785,2019:04:26
AJX,2.4950268159453364,2019:04:26
AKM,2.494980246293899,2019:04:26
BAU,2.494849852153809,2019:04:26
AGS,2.4945516606828884,2019:04:26
PGM,2.494472790729341,2019:04:26
LMG,2.4941893725514994,2019:04:26
ARE,2.4941873797051337,2019:04:26
BMG,2.4939970173846375,2019:04:26
AVL,2.4939607919126074,2019:04:26
VRX,2.493846844124928,2019:04:26
CNJ,2.4936587272358564,2019:04:26
NTU,2.4936257891524685,2019:04:26
VEC,2.493473991368976,2019:04:26
ORN,2.4934609752589973,2019:04:26
FEX,2.4933521809086305,2019:04:26
CAP,2.49327428954408,2019:04:26
HMX,2.4931512598877914,2019:04:26
GPR,2.4930869552284385,2019:04:26
EMR,2.4930385504961388,2019:04:26
CZI,2.4926586177574492,2019:04:26
ARL,2.4926273652554425,2019:04:26
CKA,2.492507412579966,2019:04:26
AME,2.492389887161529,2019:04:26
CAZ,2.4923139516488666,2019:04:26
KZR,2.4922204610441243,2019:04:26
FGR,2.492178362584636,2019:04:26
AZM,2.492167375430654,2019:04:26
SYA,2.492148147381209,2019:04:26
ATC,2.491959450495584,2019:04:26
XAM,2.4911046012610663,2019:04:26
IAU,2.491065860417661,2019:04:26
LPI,2.4906021543339927,2019:04:26
AXE,2.490526952869909,2019:04:26
VRC,2.490508338075699,2019:04:26
KIS,2.4904211132049108,2019:04:26
AQC,2.4904017926209847,2019:04:26
TGN,2.490339242810942,2019:04:26
LEX,2.4902827339339586,2019:04:26
IBG,2.4902552513572194,2019:04:26
AUC,2.490017830158775,2019:04:26
BOE,2.4897991097624117,2019:04:26
SEI,2.489698968402658,2019:04:26
RMG,2.489074663706825,2019:04:26
CGN,2.4890736665541127,2019:04:26
HLX,2.4885590803874855,2019:04:26
RBR,2.488348163540382,2019:04:26
HXG,2.4875970820957143,2019:04:26
TLG,2.487473861871201,2019:04:26
PXX,2.487297300379835,2019:04:26
BGS,2.4867277579212317,2019:04:26
ALY,2.486083631439734,2019:04:26
PEK,2.4856159146367274,2019:04:26
SFX,2.48520976822772,2019:04:26
TTM,2.484986901432115,2019:04:26
MBK,2.484732106846244,2019:04:26
