asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
AKM,2019-05-10,Materials,micro,0.0003315702173883648,,,,0.22375621821916003,0.014815803523758674,0.22224742836803185,0.7790370291172174,1,0,1,,,,
ATU,2019-05-10,Materials,micro,0.0006953959911836691,,,,0.2331818275716525,0.09596903363587826,0.22952236284301566,0.760308635375459,1,0,1,,,,
AKN,2019-05-10,Materials,micro,0.0001336234549259822,,,,0.2236413213776257,,0.22216325886238492,0.7836166648847074,1,0,1,,,,
AMI,2019-05-10,Materials,small,0.0018390362283892468,0.029217989114866807,,,0.22364708142433623,0.029231179925253602,0.2221740793949286,0.7868598310702449,1,0,1,,,,
AUR,2019-05-10,Materials,micro,0.0001479905586530906,,,,0.2237032883793721,0.0053390282968499726,0.2222003021012956,0.7794736091806551,1,0,1,,,,
ARM,2019-05-10,Materials,micro,0.00012544697656039893,,,,0.2236479228458188,0.004404698344901228,0.2221739256294661,0.7848907658861686,1,0,1,,,,
ANW,2019-05-10,Materials,micro,0.0002311413452567148,,,,,0.03563801388147357,,0.7779322142628035,1,0,1,,,,
ASL,2019-05-10,Materials,small,0.0072613032484303225,0.016256087081065598,,,0.22364693675888836,0.007741591030432461,0.2221741733627112,0.7928650343918173,1,0,1,,,,
AUC,2019-05-10,Materials,micro,0.0001717479262541261,,,,0.2242373636893877,0.0025360384410037374,0.22265125918508738,0.7762304429951176,1,0,1,,,,
AMG,2019-05-10,Materials,micro,0.0001347033352714838,,,,0.2306279185165429,0.099038974906567,0.2224591064596717,0.7848462169001035,1,0,1,,,,
AUL,2019-05-10,Materials,micro,0.00013437467603589636,,,,0.22357933075703068,0.012279765082754938,0.22216389955181184,,1,0,1,,,,
APG,2019-05-10,Materials,micro,0.0001355015077007676,,,,,,,0.7838394098150328,1,0,1,,,,
AGD,2019-05-10,Materials,micro,0.0003938746181918709,,,,0.22364676256987967,0.008675920982381206,0.2221739113919233,0.7884012259880966,1,0,1,,,,
ABX,2019-05-10,Materials,micro,0.00019142052907000328,,,,0.22367467414425246,0.012413240790176187,0.22219664305279072,0.7795983463416374,1,0,1,,,,
AUZ,2019-05-10,Materials,micro,0.00040617586386671535,,,,,0.024426054458088625,,0.777121422716419,1,0,1,,,,
AQC,2019-05-10,Materials,micro,0.0005326157669291433,,,,0.22366654630796642,,0.22223485377021268,0.7765244663031471,1,0,1,,,,
APC,2019-05-10,Materials,micro,0.0002266340185972298,,,,0.22365299204120678,0.9999999999999998,0.2221787122913624,0.7795983463416374,1,0,1,,,,
AVL,2019-05-10,Materials,micro,0.00023917002086892245,,,,0.22376379396485926,0.014949279231179925,0.2222512810471191,0.7784757118927974,1,0,1,,,,
AEV,2019-05-10,Materials,micro,0.00024405295808336452,,,,0.22369285770534428,0.0030699412706887345,0.22224508486848357,0.779954738230158,1,0,1,,,,
AVW,2019-05-10,Materials,micro,0.00012935511048208864,,,,0.22442363373913676,0.012279765082754938,0.22242128585092302,0.7840443351509321,1,0,1,,,,
AVZ,2019-05-10,Materials,micro,0.0005389072437246745,,,,0.22378062829922288,0.018419647624132406,0.22229553702522273,0.7688085819166757,1,0,1,,,,
AZM,2019-05-10,Materials,micro,0.00019142052907000328,,,,0.22377617024154328,0.1324079017618793,0.22228721091018125,0.7762037136034785,1,0,1,,,,
AZS,2019-05-10,Materials,micro,0.00016329668876759174,,,,0.2236936489367735,0.012947143619861184,0.22220426868072543,0.7842047115007663,1,0,1,,,,
BDC,2019-05-10,Materials,micro,0.0003950953524954814,,,,0.22419239044923323,,0.22256720642729155,0.7836433942763464,1,0,1,,,,
BAR,2019-05-10,Materials,micro,0.0001821241678348155,,,,0.22391657839195803,0.014548852108916176,0.2223847039083997,0.7714637014861543,1,0,1,,,,
BSE,2019-05-10,Materials,small,0.0015392990055334947,0.05951016900601548,,,0.2236470991384727,0.012546716497597437,0.22217418475274547,0.787483516875156,1,0,1,,,,
BSM,2019-05-10,Materials,micro,0.0002231596209638768,,,,0.22367248644839777,0.021222637479978643,0.22219238317997878,0.7813892155814535,1,0,1,,,,
